"channel","ctype","stype","name","hwchannel","bitnum","gain","offset","lut"
0,"s",7,"AI-01-P01-C01",0,0,1,0,0
1,"s",7,"AI-02-P01-C02",1,0,1,0,0
2,"s",7,"AI-03-P01-C03",2,0,1,0,0
3,"s",7,"AI-04-P01-C04",3,0,1,0,0
4,"s",7,"AI-05-P01-C0501",4,0,1,0,0
5,"s",7,"AI-06-P01-C0502",5,0,1,0,0
6,"s",7,"AI-07-P01-C0503",6,0,1,0,0
7,"s",7,"AI-08-P01-C0504",7,0,1,0,0
8,"s",7,"AI-09-P02-C01",8,0,1,0,0
9,"s",7,"AI-10-P02-C02",9,0,1,0,0
10,"s",7,"AI-11-P02-C03",10,0,1,0,0
11,"s",7,"AI-12-P02-C04",11,0,1,0,0
12,"s",7,"AI-13-P02-C0501",12,0,1,0,0
13,"s",7,"AI-14-P02-C0502",13,0,1,0,0
14,"s",7,"AI-15-P02-C0503",14,0,1,0,0
15,"s",7,"AI-16-P02-C0504",15,0,1,0,0
16,"c",6,"AO-01-P01-C0601",0,0,1,0,0
17,"c",6,"AO-02-P01-C0602",1,0,1,0,0
18,"c",6,"AO-03-P01-C0603",2,0,1,0,0
19,"c",6,"AO-04-P01-C0604",3,0,1,0,0
20,"c",6,"AO-05-P02-C0601",4,0,1,0,0
21,"c",6,"AO-06-P02-C0602",5,0,1,0,0
22,"c",6,"AO-07-P02-C0603",6,0,1,0,0
23,"c",6,"AO-08-P02-C0604",7,0,1,0,0
24,"i",3,"DI-01-P03-C0101",2,0,-1,0,0
25,"i",3,"DI-02-P03-C0102",2,1,-1,0,0
26,"i",3,"DI-03-P03-C0103",2,2,-1,0,0
27,"i",3,"DI-04-P03-C0104",2,3,-1,0,0
28,"i",3,"DI-05-P03-C0201",2,4,-1,0,0
29,"i",3,"DI-06-P03-C0202",2,5,-1,0,0
30,"i",3,"DI-07-P03-C0203",2,6,-1,0,0
31,"i",3,"DI-08-P03-C0204",2,7,-1,0,0
32,"i",3,"DI-09-P03-C0301",3,0,-1,0,0
33,"i",3,"DI-10-P03-C0302",3,1,-1,0,0
34,"i",3,"DI-11-P03-C0303",3,2,-1,0,0
35,"i",3,"DI-12-P03-C0304",3,3,-1,0,0
36,"i",3,"DI-13-P03-C0401",3,4,-1,0,0
37,"i",3,"DI-14-P03-C0402",3,5,-1,0,0
38,"i",3,"DI-15-P03-C0403",3,6,-1,0,0
39,"i",3,"DI-16-P03-C0404",3,7,-1,0,0
40,"i",3,"DI-17-P03-C0501",4,0,-1,0,0
41,"i",3,"DI-18-P03-C0502",4,1,-1,0,0
42,"i",3,"DI-19-P03-C0503",4,2,-1,0,0
43,"i",3,"DI-20-P03-C0504",4,3,-1,0,0
44,"i",3,"DI-21-P03-C0601",4,4,-1,0,0
45,"i",3,"DI-22-P03-C0602",4,5,-1,0,0
46,"i",3,"DI-23-P03-C0603",4,6,-1,0,0
47,"i",3,"DI-24-P03-C0604",4,7,-1,0,0
48,"i",3,"DI-25-INT-C0101",5,0,-1,0,0
49,"i",3,"DI-26-INT-C0102",5,1,-1,0,0
50,"i",3,"DI-27-INT-C0103",5,2,-1,0,0
51,"i",3,"DI-28-INT-C0104",5,3,-1,0,0
52,"i",3,"DI-29-INT-C0201",5,4,-1,0,0
53,"i",3,"DI-30-INT-C0202",5,5,-1,0,0
54,"i",3,"DI-31-INT-C0203",5,6,-1,0,0
55,"i",3,"DI-32-INT-C0204",5,7,-1,0,0
56,"o",4,"DO-01-P04-C0101",2,0,0,0,0
57,"o",4,"DO-02-P04-C0102",2,1,0,0,0
58,"o",4,"DO-03-P04-C0103",2,2,0,0,0
59,"o",4,"DO-04-P04-C0104",2,3,0,0,0
60,"o",4,"DO-05-P04-C0201",2,4,0,0,0
61,"o",4,"DO-06-P04-C0202",2,5,0,0,0
62,"o",4,"DO-07-P04-C0203",2,6,0,0,0
63,"o",4,"DO-08-P04-C0204",2,7,0,0,0
64,"o",4,"DO-09-P04-C0301",3,0,0,0,0
65,"o",4,"DO-10-P04-C0302",3,1,0,0,0
66,"o",4,"DO-11-P04-C0303",3,2,0,0,0
67,"o",4,"DO-12-P04-C0304",3,3,0,0,0
68,"o",4,"DO-13-P04-C0401",3,4,0,0,0
69,"o",4,"DO-14-P04-C0402",3,5,0,0,0
70,"o",4,"DO-15-P04-C0403",3,6,0,0,0
71,"o",4,"DO-16-P04-C0404",3,7,0,0,0
72,"o",4,"DO-17-P04-C0501",4,0,0,0,0
73,"o",4,"DO-18-P04-C0502",4,1,0,0,0
74,"o",4,"DO-19-P04-C0503",4,2,0,0,0
75,"o",4,"DO-20-P04-C0504",4,3,0,0,0
76,"o",4,"DO-21-P04-C0601",4,4,0,0,0
77,"o",4,"DO-22-P04-C0602",4,5,0,0,0
78,"o",4,"DO-23-P04-C0603",4,6,0,0,0
79,"o",4,"DO-24-P04-C0604",4,7,0,0,0
80,"o",4,"DO-25-INT-C0301",5,0,0,0,0
81,"o",4,"DO-26-INT-C0302",5,1,0,0,0
82,"o",4,"DO-27-INT-C0303",5,2,0,0,0
83,"o",4,"DO-28-INT-C0304",5,3,0,0,0
84,"o",4,"DO-29-INT-C0401",5,4,0,0,0
85,"o",4,"DO-30-INT-C0402",5,5,0,0,0
86,"o",4,"DO-31-INT-C0403",5,6,0,0,0
87,"o",4,"DO-32-INT-C0404",5,7,0,0,0
